days_before_started_study,num_slides,num_assignments_done,avg_sleep_last_week,coffee_cups_per_day,hours_studied_last_week,avg_quiz_score,midterm_score,assignments_done_ratio,class_attendance_ratio,sleep_hours_before_exam,stress_level,ai_background,mentality_type,exam_time,crisis_type,final_exam_score
2,253,7,4.4,3,3.7,10.2,12.5,0.8,0.83,8.4,4.0,basic,project_heavy,morning,Denial_mode,6.7
4,90,6,6.8,2,36.4,17.5,15.2,0.62,0.71,4.0,3.0,none,project_heavy,morning,panic_mode,20.0
0,255,1,8.1,1,3.6,10.2,7.7,0.14,0.85,8.2,3.0,basic,memorization_heavy,Evening,Denial_mode,0.0
5,169,5,8.6,1,30.4,12.1,14.7,0.5,0.14,6.9,2.0,basic,memorization_heavy,Evening,No_issue,15.8
8,149,2,6.2,1,34.1,14.9,15.5,0.25,0.79,8.7,3.0,strong,project_heavy,Evening,No_issue,17.8
5,189,8,7.0,6,39.3,14.0,12.7,0.83,0.69,8.7,2.0,strong,project_heavy,Evening,Denial_mode,9.3
1,90,5,8.0,7,10.0,8.5,10.9,0.51,0.32,3.2,4.0,none,theory_heavy,morning,panic_mode,8.4
4,261,9,8.6,4,39.1,10.4,11.6,0.92,0.04,7.5,2.0,,memorization_heavy,morning,No_issue,14.3
4,113,5,4.2,4,27.3,14.1,11.7,0.56,0.76,7.9,3.0,none,project_heavy,morning,No_issue,15.2
6,127,4,8.2,0,15.0,9.4,10.5,0.44,0.69,6.7,,basic,project_heavy,Evening,No_issue,13.5
1,204,9,5.0,5,0.9,12.7,11.1,0.96,0.58,7.3,5.0,basic,memorization_heavy,morning,Denial_mode,2.7
6,169,0,6.7,2,24.2,9.6,13.2,0.06,0.65,7.3,3.0,none,theory_heavy,morning,No_issue,13.8
5,91,5,4.6,4,22.2,6.8,10.1,0.56,0.05,4.3,1.0,basic,project_heavy,morning,No_issue,13.7
10,54,1,5.4,6,7.3,6.6,4.9,0.13,0.17,3.3,5.0,none,project_heavy,morning,panic_mode,1.5
7,76,3,7.9,5,27.7,7.2,7.4,0.31,0.14,5.1,,basic,memorization_heavy,afternoon,No_issue,11.8
10,277,2,9.0,7,19.6,5.5,13.9,0.22,0.2,5.4,2.0,basic,theory_heavy,morning,Denial_mode,9.2
9,258,4,8.5,1,37.6,11.9,16.1,0.5,0.11,4.0,1.0,basic,theory_heavy,morning,No_issue,16.7
0,103,3,7.4,6,5.7,6.5,12.6,0.32,0.5,7.1,3.0,none,project_heavy,Evening,panic_mode,18.5
5,58,5,5.3,6,28.2,17.5,17.1,0.52,0.67,7.5,2.0,strong,theory_heavy,morning,No_issue,17.7
2,65,6,7.7,3,15.2,4.4,9.7,0.69,0.07,7.3,4.0,none,project_heavy,morning,panic_mode,1.5
3,183,2,5.6,2,31.2,14.1,13.2,0.25,0.04,8.0,2.0,none,memorization_heavy,Evening,Denial_mode,12.1
0,181,1,5.1,0,9.9,16.3,18.0,0.11,0.46,4.5,4.0,strong,memorization_heavy,afternoon,panic_mode,18.7
9,115,3,5.5,1,0.3,13.7,10.3,0.38,0.48,7.2,4.0,basic,project_heavy,morning,No_issue,9.9
9,235,1,4.8,1,10.5,9.9,8.9,0.14,0.68,3.7,,basic,theory_heavy,Evening,panic_mode,5.1
7,269,8,8.6,1,12.6,10.8,12.5,0.82,0.58,3.4,1.0,none,theory_heavy,afternoon,No_issue,13.2
10,154,4,4.7,3,14.4,15.5,8.9,0.43,0.57,5.4,3.0,none,theory_heavy,morning,panic_mode,9.2
1,59,3,8.0,4,2.0,12.9,10.9,0.34,0.74,8.6,3.0,basic,memorization_heavy,morning,Denial_mode,5.4
2,177,9,9.0,4,37.5,11.4,15.1,0.96,0.99,6.9,,none,memorization_heavy,Evening,No_issue,18.0
9,292,9,8.4,0,24.6,7.3,11.2,0.95,0.02,8.1,1.0,none,memorization_heavy,Evening,Denial_mode,6.0
5,264,6,8.9,7,34.6,10.2,9.3,0.65,0.56,3.8,1.0,basic,theory_heavy,morning,No_issue,11.8
8,214,9,8.0,0,33.5,17.0,18.6,0.96,0.01,3.7,2.0,strong,project_heavy,afternoon,No_issue,19.8
10,126,2,4.5,2,6.0,14.1,13.3,0.29,0.13,5.1,4.0,strong,memorization_heavy,Evening,No_issue,13.2
4,137,9,6.0,1,26.8,4.7,,0.96,0.04,7.9,3.0,none,project_heavy,morning,panic_mode,11.5
8,56,7,6.8,2,28.9,12.8,12.6,0.75,0.96,7.5,2.0,basic,project_heavy,Evening,No_issue,15.4
7,103,8,6.5,3,13.5,15.8,13.8,0.85,0.71,5.7,3.0,basic,theory_heavy,morning,No_issue,14.2
0,143,4,8.5,0,10.2,12.6,14.9,0.48,0.34,6.2,3.0,,project_heavy,morning,No_issue,15.6
4,76,3,8.2,5,1.5,7.6,10.7,0.35,0.25,5.5,3.0,none,memorization_heavy,afternoon,No_issue,10.0
4,76,5,6.6,1,23.8,12.6,11.7,0.54,0.52,3.5,2.0,basic,project_heavy,morning,No_issue,14.4
6,142,4,8.5,3,28.3,9.7,10.9,0.46,0.81,7.4,2.0,basic,memorization_heavy,Evening,No_issue,13.5
7,224,4,6.7,0,30.4,12.2,12.1,0.48,0.99,8.6,,none,theory_heavy,morning,Denial_mode,9.4
8,214,9,5.1,1,30.2,20.0,20.0,0.95,0.67,5.8,2.0,strong,memorization_heavy,morning,No_issue,20.0
8,234,4,6.1,5,30.0,3.4,6.8,0.46,0.13,7.0,3.0,none,project_heavy,afternoon,panic_mode,14.0
5,65,4,9.0,7,10.5,5.6,13.0,0.46,0.3,8.9,,basic,memorization_heavy,Evening,Denial_mode,8.5
10,109,8,7.1,7,17.1,8.8,14.1,0.87,0.01,7.3,2.0,basic,theory_heavy,afternoon,No_issue,14.0
5,295,0,6.8,6,20.1,12.6,13.0,0.07,0.12,5.1,2.0,none,theory_heavy,afternoon,Denial_mode,9.7
